,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,raise_prob,chg_avg
0,2015-01-05,sh.600519,189.62,204.24,188.69,202.52,189.62,9451517,1875063136.0,0.82763,6.8031,15.669442,4.745072,7.402898,404.660981,0.2,-1.40576
1,2015-01-06,sh.600519,200.0,202.56,196.02,197.83,202.52,5502001,1094977376.0,0.481787,-2.3158,15.306566,4.635185,7.23146,395.289759,0.3,-1.02601
2,2015-01-07,sh.600519,196.04,199.5,189.99,192.94,197.83,5479784,1063925648.0,0.479842,-2.4718,14.928215,4.520612,7.052712,385.518911,0.4,-0.5384900000000001
3,2015-01-08,sh.600519,194.0,194.52,190.14,191.76,192.94,4052530,777874672.0,0.354863,-0.6116,14.836916,4.492964,7.009578,383.161119,0.4,-0.5393000000000001
4,2015-01-09,sh.600519,190.4,195.77,190.11,190.31,191.76,5398220,1039955152.0,0.4727,-0.7562,14.724726,4.45899,6.956575,380.263833,0.4,-0.4752700000000001
5,2015-01-12,sh.600519,190.0,192.59,184.46,186.43,190.31,4991459,934643408.0,0.437081,-2.0388,14.424522,4.368081,6.814746,372.511094,0.5,-0.17306000000000005
6,2015-01-13,sh.600519,187.0,188.54,184.6,184.88,186.43,3670808,683429632.0,0.321437,-0.8314,14.304595,4.331765,6.758087,369.413995,0.5,-0.23708
7,2015-01-14,sh.600519,185.0,186.5,180.88,183.18,184.88,5240344,965036192.0,0.458875,-0.9195,14.173062,4.291933,6.695945,366.017177,0.5,-0.29171
8,2015-01-15,sh.600519,183.89,186.4,182.48,186.07,183.18,4858552,895503104.0,0.425443,1.5777,14.396668,4.359646,6.801586,371.791768,0.4,-0.5238600000000001
9,2015-01-16,sh.600519,186.2,188.0,185.98,186.11,186.07,3997806,746304288.0,0.350071,0.0215,14.399763,4.360584,6.803048,371.871693,0.4,-0.46754000000000007
10,2015-01-19,sh.600519,181.0,183.2,171.47,175.48,186.11,6467937,1151544272.0,0.56637,-5.7117,13.577295,4.111521,6.41448,350.631587,0.4,-0.029569999999999964
11,2015-01-20,sh.600519,176.02,180.5,173.0,178.08,175.48,6102274,1086018448.0,0.534351,1.4817,13.778463,4.17244,6.50952,355.826721,0.4,0.025329999999999984
12,2015-01-21,sh.600519,178.27,182.9,177.2,182.36,178.08,5267474,950750400.0,0.461251,2.4034,14.109616,4.272721,6.665971,364.378711,0.3,-0.27780000000000005
13,2015-01-22,sh.600519,182.37,184.36,180.0,181.23,182.36,3825481,696541248.0,0.334981,-0.6197,14.022186,4.246245,6.624665,362.120826,0.3,-0.39637
14,2015-01-23,sh.600519,180.12,183.28,180.11,181.02,181.23,3308455,600627344.0,0.289708,-0.1159,14.005937,4.241324,6.616989,361.701219,0.4,-0.35317999999999994
